source_relative_path	published_relative_path	source_bytes	source_sha256	published_sha256	publication_change
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_task_aug_axes.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_task_aug_axes.txt	3113	30a716033c281cdcbf7f5a17b8d6012bc733b100b3a28177baa8bebf383fb1d7	30a716033c281cdcbf7f5a17b8d6012bc733b100b3a28177baa8bebf383fb1d7	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_task_rephrasings.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_task_rephrasings.txt	1056	36f7b901eedc2f99c5f417ddfd379d246e04a8f6645613de7b24ec5481b5c1fc	36f7b901eedc2f99c5f417ddfd379d246e04a8f6645613de7b24ec5481b5c1fc	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_video_task.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_video_task.txt	703	81efd86a973d6cdec8ece3d53f26d2338c7608a38efd0e06966bc0c263f60f50	81efd86a973d6cdec8ece3d53f26d2338c7608a38efd0e06966bc0c263f60f50	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/vqa.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/vqa.txt	1364	05ca276e483a8ad440d2756ab0ffe8b4fcc40daad47663f3b2181eb0b53592a4	05ca276e483a8ad440d2756ab0ffe8b4fcc40daad47663f3b2181eb0b53592a4	original
lerobot/src/lerobot/annotations/steerable_pipeline/reader.py	lerobot/src/lerobot/annotations/steerable_pipeline/reader.py	7982	abfdd14b09d9d062629244040cae5f85928e7c9c9dfb458ab2d4c54f4c1e91f8	abfdd14b09d9d062629244040cae5f85928e7c9c9dfb458ab2d4c54f4c1e91f8	original
lerobot/src/lerobot/annotations/steerable_pipeline/staging.py	lerobot/src/lerobot/annotations/steerable_pipeline/staging.py	3195	293dc0f1aaba842dcda3e3dc2178db65bb1c276935ace1d7a40099307efee95c	293dc0f1aaba842dcda3e3dc2178db65bb1c276935ace1d7a40099307efee95c	original
lerobot/src/lerobot/annotations/steerable_pipeline/validator.py	lerobot/src/lerobot/annotations/steerable_pipeline/validator.py	12926	709bac145c8eb50d46893ec59b207eb6cd446ec29de1b5455478fb20d9828d66	709bac145c8eb50d46893ec59b207eb6cd446ec29de1b5455478fb20d9828d66	original
lerobot/src/lerobot/annotations/steerable_pipeline/vlm_client.py	lerobot/src/lerobot/annotations/steerable_pipeline/vlm_client.py	24660	be1fd418816ed09131899be44a9852fa16c48da0f06a0ea3a9ab8facbb756c71	be1fd418816ed09131899be44a9852fa16c48da0f06a0ea3a9ab8facbb756c71	original
lerobot/src/lerobot/annotations/steerable_pipeline/writer.py	lerobot/src/lerobot/annotations/steerable_pipeline/writer.py	13877	8af50cfb642a66b26a61d7e3263303e046ebbdf2995bd9499dd67620ab854efd	8af50cfb642a66b26a61d7e3263303e046ebbdf2995bd9499dd67620ab854efd	original
lerobot/src/lerobot/async_inference/__init__.py	lerobot/src/lerobot/async_inference/__init__.py	993	0c535c81ff24d7e5258227d0b9126672897b2fd10f4df97387b15b95d6d3bf81	0c535c81ff24d7e5258227d0b9126672897b2fd10f4df97387b15b95d6d3bf81	original
lerobot/src/lerobot/async_inference/configs.py	lerobot/src/lerobot/async_inference/configs.py	7873	9b3514b3c09727dc1336d9586e68bd2c276c401ed34bffb69f9e7f67f0f7f342	9b3514b3c09727dc1336d9586e68bd2c276c401ed34bffb69f9e7f67f0f7f342	original
lerobot/src/lerobot/async_inference/constants.py	lerobot/src/lerobot/async_inference/constants.py	1150	6ff4bac2a25eff10bc3e0b97d07c07a515ad70530336fdbacd4fe9a0364b0ee9	6ff4bac2a25eff10bc3e0b97d07c07a515ad70530336fdbacd4fe9a0364b0ee9	original
lerobot/src/lerobot/async_inference/helpers.py	lerobot/src/lerobot/async_inference/helpers.py	9864	1457c5bb556b4f10225a9c94ac95553bd53c7b51665f1c918e15bb2acb0ac24e	1457c5bb556b4f10225a9c94ac95553bd53c7b51665f1c918e15bb2acb0ac24e	original
lerobot/src/lerobot/async_inference/policy_server.py	lerobot/src/lerobot/async_inference/policy_server.py	16932	0e29bce10b7f97e74c7d2e666ea1e219da506b1dde6aa85b26fce827b9395c04	0e29bce10b7f97e74c7d2e666ea1e219da506b1dde6aa85b26fce827b9395c04	original
